instance,avg gap,std_dev,max gap,min gap,trials
bur26h.dat,13.471306830107888,0.0,13.471306830107888,13.471306830107888,1
bur26e.dat,11.888590777702637,0.0,11.888590777702637,11.888590777702637,1
bur26d.dat,11.626952089971148,0.0,11.626952089971148,11.626952089971148,1
bur26f.dat,12.303690808462303,0.0,12.303690808462303,12.303690808462303,1
bur26g.dat,13.368923647833604,0.0,13.368923647833604,13.368923647833604,1
bur26c.dat,12.124357009984715,0.0,12.124357009984715,12.124357009984715,1
bur26b.dat,12.041430626436016,0.0,12.041430626436016,12.041430626436016,1
bur26a.dat,11.058807703435072,0.0,11.058807703435072,11.058807703435072,1
instance,avg gap,std_dev,max gap,min gap,trials
bur26h.dat,13.471306830107888,0.0,13.471306830107888,13.471306830107888,10000
bur26e.dat,11.888590777702634,3.552713678800501e-15,11.888590777702637,11.888590777702637,10000
bur26d.dat,11.626952089971152,3.552713678800501e-15,11.626952089971148,11.626952089971148,10000
bur26f.dat,12.303690808462305,1.7763568394002505e-15,12.303690808462303,12.303690808462303,10000
bur26g.dat,13.36892364783361,5.329070518200751e-15,13.368923647833604,13.368923647833604,10000
bur26c.dat,12.124357009984719,3.552713678800501e-15,12.124357009984715,12.124357009984715,10000
bur26b.dat,12.04143062643601,5.329070518200751e-15,12.041430626436016,12.041430626436016,10000
bur26a.dat,11.058807703435068,3.552713678800501e-15,11.058807703435072,11.058807703435072,10000
